"temp","HOME","DATAINPUT","DATAOUTPUT","MANUALINPUT","PROFILE","VISUAL","SEARCH","ASSET","DATAACCESS"
"43b0dca0c7a4f2bb72bc7f208d07992b",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acd7081c86f9859b0d9e5361f1dbe565",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
"5c89c2a3e55757c3ab0c40ccecdbff78",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Hi,hello"
"1b9893818b42b30de2f4901bae41e9c9",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"War Lake First Nation,Fox Lake Cree Nation,York Factory First Nation,Tetaskweak Cree Nation"
"605ab4a774ea60c3f26cb25cfff54f4a",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Fox Lake Cree Nation,War Lake First Nation,York Factory First Nation,Tetaskweak Cree Nation"
"43b0dca0c7a4f2bb72bc7f208d07992b",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"Tetaskweak Cree Nation"
"3f2e1ab8f14d9da393cb96f249361c4f",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"b9865a58935a1add7732bc65fbf1153f",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"ea674629fb4ab7e5996d2e3bea3c0a0f",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,""
"696855507dbdbd5e6b0b1c68f77bf744",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"Fox Lake Cree Nation,War Lake First Nation,York Factory First Nation,Tetaskweak Cree Nation"
"ca9837cdad9d94814539cb75b47fc2ad",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"69ffea03eac5a78be8a0472d70c0ecc5",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"7cd099e54b62c03c02daf1501f12a34e",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"new location"
"fcf991b7722960429f41dd4dbff6086d",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"new location"
"719aee6dc6df4061f45a176a919f4bfd",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"new location"
"9a29c007b0eea2245c3ec05a7a7b5e73",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"new location"
"1421be96fe009b88a0769813afef047d",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"new location"
"4ff078d5f188c82f469ae2d0b4a5e97f",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"new location"
"8245a10f4991c6f6fd8a9790bf4d87d8",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"new location"
"84e7f7e673e983152ece93cd37b3e43f",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"new location"
"dc078422b338683973643debb46d2bcf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"new location"
"45da32d6c6aff2dce9ae6ce81cd26741",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"new location"
"0d54cadc91ad557f2508b082c420858c",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"new location"
"5ae2960ef20da153714942940b74abee",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"new location"
"a9fa4283a8d033f03b296d9a6425d785",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"960ca886ba5155d2b3808d4d10803c3c",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"697011c5e1db351ee78c08dd274b5b6c",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Fox Lake Cree Nation,War Lake First Nation,York Factory First Nation,Tetaskweak Cree Nation"
"44d90f59e57492b1e988e4d42e22a06e",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"dc6a1f0000d793e480524af6a09a7312",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"697011c5e1db351ee78c08dd274b5b6c",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Fox Lake Cree Nation,War Lake First Nation,York Factory First Nation,Tetaskweak Cree Nation"
"307d626c488d670e444c2692286dae97",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Fox Lake Cree Nation,War Lake First Nation,York Factory First Nation,Tetaskweak Cree Nation"
"ee74e79e370dae72ba7a28f04a4244e1",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
